"yearid","name","w","attendance"
2016,"Los Angeles Dodgers",91,3703312
2016,"St. Louis Cardinals",86,3444490
2016,"Toronto Blue Jays",89,3392099
2016,"San Francisco Giants",87,3365256
2016,"Chicago Cubs",103,3232420
2016,"New York Yankees",84,3063405
2016,"Los Angeles Angels of Anaheim",74,3016142
2016,"Boston Red Sox",93,2955434
2016,"New York Mets",87,2789602
2016,"Texas Rangers",95,2710402
2016,"Colorado Rockies",75,2602524
2016,"Kansas City Royals",81,2557712
2016,"Detroit Tigers",86,2493859
2016,"Washington Nationals",95,2481938
2016,"San Diego Padres",68,2351422
2016,"Milwaukee Brewers",73,2315244
2016,"Houston Astros",84,2306623
2016,"Seattle Mariners",86,2267928
2016,"Pittsburgh Pirates",78,2249201
2016,"Baltimore Orioles",89,2172344
2016,"Arizona Diamondbacks",69,2036216
2016,"Atlanta Braves",68,2008332
2016,"Minnesota Twins",59,1963912
2016,"Philadelphia Phillies",71,1915144
2016,"Cincinnati Reds",68,1894085
2016,"Chicago White Sox",78,1746293
2016,"Miami Marlins",79,1712417
2016,"Cleveland Indians",94,1591667
2016,"Oakland Athletics",69,1521506
2016,"Tampa Bay Rays",68,1286163
2016,"Atlanta Braves",68,12582
2015,"Los Angeles Dodgers",92,3764815
2015,"St. Louis Cardinals",100,3520889
2015,"San Francisco Giants",84,3375882
2015,"New York Yankees",87,3193795
2015,"Los Angeles Angels of Anaheim",85,3012765
2015,"Chicago Cubs",97,2919122
2015,"Boston Red Sox",78,2880694
2015,"Toronto Blue Jays",93,2794891
2015,"Detroit Tigers",74,2726048
2015,"Kansas City Royals",95,2708549
2015,"Washington Nationals",83,2619843
2015,"New York Mets",90,2569753
2015,"Milwaukee Brewers",68,2542558
2015,"Colorado Rockies",68,2506789
2015,"Pittsburgh Pirates",98,2498596
2015,"Texas Rangers",88,2491875
2015,"San Diego Padres",74,2459752
2015,"Cincinnati Reds",64,2419506
2015,"Baltimore Orioles",81,2281202
2015,"Minnesota Twins",83,2220054
2015,"Seattle Mariners",76,2193581
2015,"Houston Astros",86,2153585
2015,"Arizona Diamondbacks",79,2080145
2015,"Atlanta Braves",67,2001392
2015,"Philadelphia Phillies",63,1831080
2015,"Oakland Athletics",68,1768175
2015,"Chicago White Sox",76,1755810
2015,"Miami Marlins",71,1752235
2015,"Cleveland Indians",81,1388905
2015,"Tampa Bay Rays",80,1247668
2015,"Baltimore Orioles",81,39386
2014,"Los Angeles Dodgers",94,3782337
2014,"St. Louis Cardinals",90,3540649
2014,"New York Yankees",84,3401624
2014,"San Francisco Giants",88,3368697
2014,"Los Angeles Angels of Anaheim",98,3095935
2014,"Boston Red Sox",71,2956089
2014,"Detroit Tigers",90,2917209
2014,"Milwaukee Brewers",82,2797384
2014,"Texas Rangers",67,2718733
