"name","yearid","w","total_salary"
"New York Yankees",2016,84,"222997792"
"Los Angeles Dodgers",2016,91,"221288380"
"Detroit Tigers",2016,86,"194876481"
"Boston Red Sox",2016,93,"188545761"
"Texas Rangers",2016,95,"176038723"
"San Francisco Giants",2016,87,"172253778"
"Baltimore Orioles",2016,89,"161863456"
"Chicago Cubs",2016,103,"154067668"
"St. Louis Cardinals",2016,86,"143053500"
"Washington Nationals",2016,95,"141652646"
"Toronto Blue Jays",2016,89,"138701700"
"Los Angeles Angels of Anaheim",2016,74,"137251333"
"Seattle Mariners",2016,86,"135683339"
"New York Mets",2016,87,"133889129"
"Kansas City Royals",2016,81,"131487125"
"Chicago White Sox",2016,78,"112998667"
"Colorado Rockies",2016,75,"112645071"
"Pittsburgh Pirates",2016,78,"103778833"
"Minnesota Twins",2016,59,"102583200"
"San Diego Padres",2016,68,"101424814"
"Houston Astros",2016,84,"94893700"
"Cincinnati Reds",2016,68,"88940059"
"Arizona Diamondbacks",2016,69,"87439063"
"Oakland Athletics",2016,69,"86806234"
"Miami Marlins",2016,79,"77314202"
"Cleveland Indians",2016,94,"74311900"
"Milwaukee Brewers",2016,73,"68775237"
"Atlanta Braves",2016,68,"68498291"
"Philadelphia Phillies",2016,71,"58980000"
"Tampa Bay Rays",2016,68,"57097310"
"Los Angeles Dodgers",2015,92,"215792000"
"New York Yankees",2015,87,"212751957"
"Boston Red Sox",2015,78,"181103400"
"Detroit Tigers",2015,74,"172284750"
"San Francisco Giants",2015,84,"164701500"
"Washington Nationals",2015,83,"155587472"
"Texas Rangers",2015,88,"143742789"
"Seattle Mariners",2015,76,"122208700"
"Los Angeles Angels of Anaheim",2015,85,"120005415"
"St. Louis Cardinals",2015,100,"119241500"
"San Diego Padres",2015,74,"118441300"
"Chicago Cubs",2015,97,"115879310"
"Baltimore Orioles",2015,81,"115044833"
"Cincinnati Reds",2015,64,"113072286"
"Toronto Blue Jays",2015,93,"112992400"
"Chicago White Sox",2015,76,"112373700"
"Kansas City Royals",2015,95,"112107025"
"Philadelphia Phillies",2015,63,"111693000"
"Minnesota Twins",2015,83,"107755000"
"Milwaukee Brewers",2015,68,"100850000"
"New York Mets",2015,90,"96766683"
"Colorado Rockies",2015,68,"95688600"
"Pittsburgh Pirates",2015,98,"88892499"
"Cleveland Indians",2015,81,"87663766"
"Oakland Athletics",2015,68,"79053501"
"Houston Astros",2015,86,"72256200"
"Atlanta Braves",2015,67,"71781250"
"Miami Marlins",2015,71,"68056500"
"Tampa Bay Rays",2015,80,"64521233"
"Arizona Diamondbacks",2015,79,"61834000"
"Los Angeles Dodgers",2014,94,"217014600"
"New York Yankees",2014,84,"197543907"
"Philadelphia Phillies",2014,73,"180944967"
"San Francisco Giants",2014,88,"163510167"
"Detroit Tigers",2014,90,"152855500"
"Boston Red Sox",2014,71,"139019929"
"Washington Nationals",2014,96,"131983680"
"Los Angeles Angels of Anaheim",2014,98,"121988250"
"St. Louis Cardinals",2014,90,"120693000"
"Texas Rangers",2014,67,"112255059"
"Toronto Blue Jays",2014,83,"109920100"
"Cincinnati Reds",2014,76,"108217500"
"Baltimore Orioles",2014,96,"103416000"
"Milwaukee Brewers",2014,82,"101217000"
"Arizona Diamondbacks",2014,64,"97861500"
"Atlanta Braves",2014,79,"97609000"
"Colorado Rockies",2014,66,"95403500"
"Seattle Mariners",2014,87,"92531100"
"New York Mets",2014,79,"85556990"
"Minnesota Twins",2014,70,"83762500"
"Cleveland Indians",2014,85,"82151899"
"Chicago White Sox",2014,73,"81830500"
"Pittsburgh Pirates",2014,88,"77178000"
"San Diego Padres",2014,77,"75685700"
"Kansas City Royals",2014,89,"74594075"
"Tampa Bay Rays",2014,77,"72689100"
"Oakland Athletics",2014,88,"72408400"
"Chicago Cubs",2014,73,"65522500"
"Miami Marlins",2014,77,"41836900"
"Houston Astros",2014,70,"35116300"
"New York Yankees",2013,85,"231978886"
"Los Angeles Dodgers",2013,92,"223362196"
"Philadelphia Phillies",2013,73,"169863189"
"Boston Red Sox",2013,97,"151530000"
"Detroit Tigers",2013,93,"145989500"
"San Francisco Giants",2013,76,"140180334"
"Toronto Blue Jays",2013,74,"126288100"
"Los Angeles Angels of Anaheim",2013,78,"124174750"
"Chicago White Sox",2013,63,"120065277"
"Washington Nationals",2013,86,"113703270"
"Texas Rangers",2013,91,"112522600"
"Cincinnati Reds",2013,90,"106404462"
"Chicago Cubs",2013,66,"100567726"
"St. Louis Cardinals",2013,97,"92260110"
"Arizona Diamondbacks",2013,81,"90132000"
"Atlanta Braves",2013,96,"87871525"
"Baltimore Orioles",2013,85,"84393333"
"Kansas City Royals",2013,86,"80091725"
"Pittsburgh Pirates",2013,94,"77062000"
"Milwaukee Brewers",2013,74,"76947033"
"Cleveland Indians",2013,92,"75771800"
"Minnesota Twins",2013,66,"75337500"
"Colorado Rockies",2013,74,"74409071"
"Seattle Mariners",2013,71,"74005043"
"San Diego Padres",2013,76,"65585500"
"Oakland Athletics",2013,96,"60132500"
"Tampa Bay Rays",2013,92,"52955272"
"New York Mets",2013,74,"49448346"
"Miami Marlins",2013,62,"33601900"
"Houston Astros",2013,51,"17890700"
"New York Yankees",2012,95,"196522289"
"Philadelphia Phillies",2012,81,"174538938"
"Boston Red Sox",2012,69,"173186617"
"Los Angeles Angels of Anaheim",2012,89,"154485166"
"Detroit Tigers",2012,88,"132300000"
"Texas Rangers",2012,93,"120510974"
"Miami Marlins",2012,69,"118078000"
"San Francisco Giants",2012,94,"117620683"
"St. Louis Cardinals",2012,88,"110300862"
"Milwaukee Brewers",2012,83,"97653944"
"Chicago White Sox",2012,85,"96919500"
"Los Angeles Dodgers",2012,86,"95143575"
"Minnesota Twins",2012,66,"94085000"
"New York Mets",2012,74,"93353983"
"Chicago Cubs",2012,61,"88197033"
"Atlanta Braves",2012,94,"82829942"
"Cincinnati Reds",2012,97,"82203616"
"Seattle Mariners",2012,75,"81978100"
"Washington Nationals",2012,98,"80855143"
"Cleveland Indians",2012,68,"78430300"
"Colorado Rockies",2012,64,"78069571"
"Baltimore Orioles",2012,93,"77353999"
"Toronto Blue Jays",2012,73,"75009200"
"Arizona Diamondbacks",2012,81,"73804833"
"Tampa Bay Rays",2012,90,"64173500"
"Pittsburgh Pirates",2012,79,"62951999"
"Kansas City Royals",2012,72,"60916225"
"Houston Astros",2012,55,"60651000"
"Oakland Athletics",2012,94,"55372500"
"San Diego Padres",2012,76,"55244700"
"New York Yankees",2011,97,"202275028"
"Philadelphia Phillies",2011,102,"172976379"
"Boston Red Sox",2011,90,"161762475"
"Los Angeles Angels of Anaheim",2011,86,"138543166"
"Chicago White Sox",2011,79,"127789000"
"Chicago Cubs",2011,71,"125047329"
"New York Mets",2011,77,"118847309"
"San Francisco Giants",2011,86,"118198333"
"Minnesota Twins",2011,63,"112737000"
"Detroit Tigers",2011,95,"105700231"
"St. Louis Cardinals",2011,90,"105433572"
"Los Angeles Dodgers",2011,82,"104188999"
"Texas Rangers",2011,96,"92299264"
"Colorado Rockies",2011,73,"88148071"
"Atlanta Braves",2011,89,"87002692"
"Seattle Mariners",2011,67,"86110600"
"Milwaukee Brewers",2011,96,"85497333"
"Baltimore Orioles",2011,69,"85304038"
"Cincinnati Reds",2011,79,"75947134"
"Houston Astros",2011,56,"70694000"
"Oakland Athletics",2011,74,"66536500"
"Washington Nationals",2011,80,"63856928"
"Toronto Blue Jays",2011,81,"62567800"
"Florida Marlins",2011,72,"56944000"
